 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.20000000
nptseg(1) = 38
deltp1(1) = 0.0500000
deltpn(1) = 0.0500000
nptseg(2) = 36
deltp1(2) = 0.0500000
deltpn(2) = 0.0500000
nptseg(3) =147
deltp1(3) = 0.1000000
deltpn(3) = 0.1000000
npr(1) = 18
deltr1(1) =-0.0100000
deltrn(1) =-0.1000000
npr(2) = 18
deltr1(2) = 0.0020000
deltrn(2) = 0.0020000
npr(3) = 18
deltr1(3) = 0.0100000
deltrn(3) = 0.0100000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  400
relax= 5.0000E-01
pasmin= 4.0000E-03
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='  219  'nprad='   18
  1.71405111E+00 -1.24141429E+00 -6.57594764E-05 -1.50019626E+00 -1.20722757E+00
  1.68269634E+00 -1.20247129E+00 -6.32012247E-05 -1.29526294E+00 -1.04422595E+00
  1.66689449E+00 -1.18285659E+00 -5.78226744E-05 -1.19511805E+00 -9.63484777E-01
  1.65890041E+00 -1.17306621E+00 -4.69584480E-05 -1.14535125E+00 -9.23569563E-01
  1.65493463E+00 -1.16811313E+00 -3.31556445E-05 -1.12069997E+00 -9.03449043E-01
  1.65094626E+00 -1.16309114E+00 -7.60747382E-05 -1.09595251E+00 -8.83083440E-01
  1.64503007E+00 -1.15579649E+00 -6.10093350E-05 -1.05967424E+00 -8.53668425E-01
  1.64054170E+00 -1.15029213E+00 -5.61902870E-05 -1.03229777E+00 -8.31565478E-01
  1.63518714E+00 -1.14344480E+00 -4.88808802E-05 -9.99471508E-01 -8.04073098E-01
  1.62966628E+00 -1.13673899E+00 -5.95193845E-05 -9.66261396E-01 -7.77367856E-01
  1.62757002E+00 -1.13413716E+00 -5.03068762E-05 -9.53617109E-01 -7.67021179E-01
  1.62456726E+00 -1.13041458E+00 -4.73619867E-05 -9.35534224E-01 -7.52250852E-01
  1.62241622E+00 -1.12774068E+00 -4.68139333E-05 -9.22589391E-01 -7.41661076E-01
  1.62034427E+00 -1.12500430E+00 -4.55865077E-05 -9.09975087E-01 -7.30762224E-01
  1.61635317E+00 -1.12011414E+00 -7.07331537E-05 -8.86223701E-01 -7.11467790E-01
  1.61272896E+00 -1.11574110E+00 -6.57456552E-05 -8.64757179E-01 -6.94300544E-01
  1.61101594E+00 -1.11355234E+00 -5.61163550E-05 -8.54503975E-01 -6.85660912E-01
  1.60583387E+00 -1.10695114E+00 -4.68432785E-05 -8.23549875E-01 -6.59683270E-01
  1.60010865E+00 -1.09990994E+00 -4.85557830E-05 -7.89824087E-01 -6.32208420E-01
  1.59658734E+00 -1.09557410E+00 -4.12106072E-05 -7.69109614E-01 -6.15358019E-01
  1.59311377E+00 -1.09117873E+00 -4.81322253E-05 -7.48584830E-01 -5.98255193E-01
  1.59014886E+00 -1.08721602E+00 -6.79990659E-05 -7.30884438E-01 -5.82745071E-01
