 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.44946942E+00     -9.45684086E-01      1.49556535E-06

 Point O:
    1.68785930E+00      7.13234668E-02      6.57086738E-02
 $parameters
repart = 2
distxo = 1.04457365
pntrat = 0.40000000
nptseg(1) =  5
deltp1(1) = 0.0700000
deltpn(1) = 0.0300000
nptseg(2) =  5
deltp1(2) = 0.0700000
deltpn(2) = 0.0300000
nptseg(3) = 29
deltp1(3) = 0.1500000
deltpn(3) = 0.1500000
npr(1) = 11
deltr1(1) =-0.0010000
deltrn(1) =-0.0020000
npr(2) = 11
deltr1(2) = 0.0005000
deltrn(2) = 0.0005000
npr(3) = 11
deltr1(3) = 0.0010000
deltrn(3) = 0.0100000
tgarde(1) = 0.20000
tgarde(2) = 0.20000
nrelax=  200
relax= 2.0000E-02
pasmin= 1.0000E-04
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   37  'nprad='   11
  1.60713705E+00 -1.18886415E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.59052482E+00 -1.16388376E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.54190983E+00 -1.09015926E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.48709481E+00 -1.00461860E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.44946942E+00 -9.45684086E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.57216779E+00 -8.59868177E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.69117685E+00 -7.65454377E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.80429604E+00 -6.61335051E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.90726637E+00 -5.44970218E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.99632603E+00 -4.15816391E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.06805657E+00 -2.74778856E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.11872243E+00 -1.23634160E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.14434220E+00  3.47531045E-02  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.14211022E+00  1.96072814E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.11109253E+00  3.55167883E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.05184357E+00  5.06686789E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.96559247E+00  6.45150123E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.85314111E+00  7.63635726E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.71392699E+00  8.48637887E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.55330024E+00  8.68358401E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.40673271E+00  7.99720103E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.29682295E+00  6.79576407E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.21622249E+00  5.38248792E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
  1.15937975E+00  3.86372992E-01  0.00000000E+00  0.00000000E+00  0.00000000E+00
