 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.44946942E+00     -9.45684086E-01      1.49556535E-06

 Point O:
    1.68785930E+00      7.13234668E-02      6.57086738E-02
 $parameters
repart = 2
distxo = 1.04457365
pntrat = 0.40000000
nptseg(1) = 12
deltp1(1) = 0.0300000
deltpn(1) = 0.0200000
nptseg(2) = 13
deltp1(2) = 0.0300000
deltpn(2) = 0.0200000
nptseg(3) = 53
deltp1(3) = 0.0750000
deltpn(3) = 0.0750000
npr(1) = 30
deltr1(1) =-0.0010000
deltrn(1) =-0.0020000
npr(2) = 30
deltr1(2) = 0.0005000
deltrn(2) = 0.0005000
npr(3) = 30
deltr1(3) = 0.0003000
deltrn(3) = 0.0030000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  800
relax= 2.0000E-02
pasmin= 1.0000E-06
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   76  'nprad='   30
  1.67766963E+00 -1.29327810E+00  1.98361474E-06 -2.26611464E-01 -1.53082370E-01
  1.66640853E+00 -1.27675069E+00  7.52643790E-06 -2.16152716E-01 -1.45999197E-01
  1.64568629E+00 -1.24589880E+00  1.95382498E-06 -1.96787091E-01 -1.32694279E-01
  1.60716172E+00 -1.18871683E+00 -1.48697062E-05 -1.60679513E-01 -1.07549616E-01
  1.58859893E+00 -1.16103558E+00  6.39209897E-06 -1.43308104E-01 -9.47267092E-02
  1.58550409E+00 -1.15619796E+00  3.45292875E-06 -1.40345858E-01 -9.24661662E-02
  1.55636193E+00 -1.11207178E+00  3.93728243E-06 -1.10811508E-01 -7.33336022E-02
  1.55205862E+00 -1.10519784E+00  4.48467327E-06 -1.06219147E-01 -7.02488927E-02
  1.52428741E+00 -1.06340576E+00  6.46806399E-06 -7.83443418E-02 -5.07985961E-02
  1.51902860E+00 -1.05470765E+00  3.77577019E-06 -7.28026144E-02 -4.67019721E-02
  1.48948423E+00 -1.00862750E+00  8.97745233E-06 -4.21805127E-02 -2.63972885E-02
  1.44946942E+00 -9.45684086E-01  1.49556535E-06  2.22044605E-16  0.00000000E+00
  1.55078850E+00 -8.76079657E-01 -7.72468591E-06 -5.41615644E-02  7.30604907E-02
  1.58633343E+00 -8.49330746E-01 -8.86723843E-06 -7.65165876E-02  1.00621596E-01
  1.61439812E+00 -8.27796564E-01  4.67268349E-07 -9.55018369E-02  1.22601807E-01
  1.64491666E+00 -8.03696333E-01 -1.81090577E-06 -1.17672003E-01  1.46542014E-01
  1.67242794E+00 -7.81100776E-01 -1.38363771E-06 -1.39092235E-01  1.68180011E-01
  1.69933934E+00 -7.58542399E-01 -4.67796081E-06 -1.61759495E-01  1.88888786E-01
  1.72429082E+00 -7.36747056E-01  5.37024675E-08 -1.84225684E-01  2.07985627E-01
  1.74814908E+00 -7.15263386E-01  1.66523421E-06 -2.06667339E-01  2.25686002E-01
  1.76264934E+00 -7.01810294E-01  3.37965142E-06 -2.21140698E-01  2.35896335E-01
  1.80000247E+00 -6.65593098E-01  1.10993490E-05 -2.61394810E-01  2.60825475E-01
  1.83239158E+00 -6.32060018E-01  1.47084442E-05 -2.99766107E-01  2.80693252E-01
