 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    3.88872080E+00      3.78131092E-01     -9.04324253E-04

 Point O:
    3.88872080E+00      3.78131092E-01     -9.04324253E-04
 $parameters
repart = 2
distxo = 0.91244994
pntrat = 0.20000000
nptseg(1) =188
deltp1(1) = 0.0250000
deltpn(1) = 0.0250000
npr(1) = 40
deltr1(1) = 0.0050000
deltrn(1) = 0.0125000
npr(2) = 23
deltr1(2) =-0.0025000
deltrn(2) =-0.0250000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  500
relax= 1.0000E-01
pasmin= 1.0000E-02
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    2
'region:'    1
'nppol='  188  'nprad='   40
  3.88872080E+00  3.78131092E-01 -9.04324253E-04  1.47612051E+00  5.01853872E-02
  3.88684583E+00  4.03060683E-01 -9.46662453E-04  1.47192672E+00  7.29017775E-02
  3.88488928E+00  4.29075004E-01 -9.68695814E-04  1.46749929E+00  9.67896620E-02
  3.88339136E+00  4.48991388E-01 -9.70277320E-04  1.46407437E+00  1.15204423E-01
  3.88073606E+00  4.84296287E-01 -9.40500676E-04  1.45792793E+00  1.48116765E-01
  3.87782687E+00  5.13389240E-01 -9.76250355E-04  1.45124170E+00  1.74635828E-01
  3.87289901E+00  5.44563775E-01 -1.14673751E-03  1.43999421E+00  2.01285648E-01
  3.86821210E+00  5.74213989E-01 -1.18241646E-03  1.42905115E+00  2.27078616E-01
  3.86317043E+00  6.06108498E-01 -1.08314071E-03  1.41701255E+00  2.55309600E-01
  3.85734146E+00  6.38843401E-01 -1.04078013E-03  1.40323440E+00  2.83674348E-01
  3.84963423E+00  6.70396874E-01 -1.42122506E-03  1.38588530E+00  3.07920588E-01
  3.84086965E+00  7.06279108E-01 -1.48835785E-03  1.36548984E+00  3.36133048E-01
  3.83438968E+00  7.32808153E-01 -1.28789472E-03  1.34995484E+00  3.57429418E-01
  3.82323834E+00  7.73341409E-01 -1.17256201E-03  1.32360326E+00  3.88078682E-01
  3.81419467E+00  8.00607624E-01 -1.65324313E-03  1.30280407E+00  4.06993968E-01
  3.81007163E+00  8.12921318E-01 -1.78691385E-03  1.29324792E+00  4.15693615E-01
  3.79774438E+00  8.49737342E-01 -1.68545960E-03  1.26406249E+00  4.42177573E-01
  3.78458403E+00  8.88088184E-01 -1.01725546E-03  1.23244858E+00  4.69885711E-01
  3.76918856E+00  9.24674537E-01 -1.58436408E-03  1.19906338E+00  4.91074274E-01
  3.76385484E+00  9.37349784E-01 -1.54977422E-03  1.18719193E+00  4.98444065E-01
  3.75313356E+00  9.62828223E-01 -1.12051664E-03  1.16285400E+00  5.13303288E-01
  3.74383221E+00  9.83193232E-01 -1.19010637E-03  1.14216824E+00  5.26307636E-01
  3.73550859E+00  1.00118714E+00 -1.03778546E-03  1.12335782E+00  5.38185812E-01
  3.72398573E+00  1.02360754E+00 -1.56630532E-03  1.09940230E+00  5.51191061E-01
  3.71020404E+00  1.04908879E+00 -2.17727991E-03  1.07154189E+00  5.63841372E-01
  3.69460689E+00  1.07778832E+00 -2.14666070E-03  1.03947563E+00  5.77874566E-01
  3.67000925E+00  1.12178759E+00 -9.89693707E-04  9.88066509E-01  5.99630399E-01
  3.64327057E+00  1.16224676E+00 -1.89057846E-03  9.37247433E-01  6.18705574E-01
  3.61960101E+00  1.19675870E+00 -2.11415483E-03  8.93669997E-01  6.31940999E-01
  3.59545247E+00  1.23128470E+00 -1.04150943E-03  8.48552355E-01  6.44430897E-01
  3.58564770E+00  1.24318586E+00 -1.22988759E-03  8.31077849E-01  6.49829037E-01
  3.56072873E+00  1.27347909E+00 -1.17820155E-03  7.87937878E-01  6.61565872E-01
  3.53018822E+00  1.30971911E+00 -1.23338163E-03  7.38504944E-01  6.70838087E-01
