 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    1.46695054E+00     -9.28289720E-01     -7.86542911E-05

 Point O:
    1.69550726E+00      1.08526233E-01      2.93462173E-01
 $parameters
repart = 2
distxo = 1.06170876
pntrat = 0.20000000
nptseg(1) =  9
deltp1(1) = 0.0500000
deltpn(1) = 0.0500000
nptseg(2) =  9
deltp1(2) = 0.0500000
deltpn(2) = 0.0500000
nptseg(3) = 49
deltp1(3) = 0.1000000
deltpn(3) = 0.1000000
npr(1) =  9
deltr1(1) =-0.0100000
deltrn(1) =-0.0100000
npr(2) =  9
deltr1(2) = 0.0020000
deltrn(2) = 0.0020000
npr(3) =  9
deltr1(3) = 0.0200000
deltrn(3) = 0.0200000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  400
relax= 5.0000E-01
pasmin= 4.0000E-04
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    3
'region:'    1
'nppol='   65  'nprad='    9
  1.71405111E+00 -1.24141429E+00 -6.57594764E-05 -1.50019626E+00 -1.20722757E+00
  1.68269634E+00 -1.20247129E+00 -6.32012247E-05 -1.29526294E+00 -1.04422595E+00
  1.65137239E+00 -1.16362949E+00 -7.61847208E-05 -1.09859653E+00 -8.85262710E-01
  1.62019278E+00 -1.12475913E+00 -7.81957350E-05 -9.09020652E-01 -7.29761587E-01
  1.58906379E+00 -1.08589244E+00 -7.52480619E-05 -7.24566022E-01 -5.77633464E-01
  1.55805365E+00 -1.04693722E+00 -7.68074028E-05 -5.43789631E-01 -4.28022958E-01
  1.52750173E+00 -1.00758862E+00 -5.95000675E-05 -3.63894954E-01 -2.80425958E-01
  1.49733099E+00 -9.67949209E-01 -6.53633899E-05 -1.83394287E-01 -1.36291959E-01
  1.46695054E+00 -9.28289720E-01 -7.86542911E-05  0.00000000E+00  0.00000000E+00
  1.54543508E+00 -8.66657306E-01 -8.33047217E-05 -3.05169358E-01  3.75625175E-01
  1.62179676E+00 -8.03218773E-01 -8.48439585E-05 -6.48841101E-01  7.61265753E-01
  1.69585828E+00 -7.38035706E-01 -8.12630422E-05 -1.02799965E+00  1.12855624E+00
  1.76700405E+00 -6.70568679E-01 -7.64348818E-05 -1.44071147E+00  1.46062627E+00
  1.83475315E+00 -6.00509054E-01 -7.14009433E-05 -1.88849547E+00  1.73962089E+00
  1.89842923E+00 -5.27467634E-01 -6.09706517E-05 -2.36835632E+00  1.95020596E+00
  1.95734670E+00 -4.51206476E-01 -6.23836681E-06 -2.86935602E+00  2.07528102E+00
  2.01082941E+00 -3.71643667E-01 -5.55770971E-05 -3.36995765E+00  2.09356333E+00
  2.05796243E+00 -2.88707500E-01 -5.97811859E-06 -3.84239156E+00  1.98297468E+00
  2.09778609E+00 -2.02517307E-01 -3.63036296E-05 -4.25982017E+00  1.73852408E+00
  2.12921225E+00 -1.13366835E-01 -6.73220840E-05 -4.59592874E+00  1.36723860E+00
  2.15131704E+00 -2.18586953E-02 -7.20764305E-05 -4.82484809E+00  8.94170623E-01
  2.16338768E+00  7.11479910E-02 -7.84199562E-05 -4.92211223E+00  3.64758201E-01
  2.16508465E+00  1.64593731E-01 -7.85877306E-05 -4.88478697E+00 -1.85244755E-01
