 output format:carre71 


 Number of X-points:  1
    x                   y                   psi
    3.88872080E+00      3.78131092E-01     -9.04324253E-04

 Point O:
    2.97840602E+00      3.15745990E-01     -1.00161737E+00
 $parameters
repart = 2
distxo = 0.91244994
pntrat = 0.20000000
nptseg(1) =185
deltp1(1) = 0.0250000
deltpn(1) = 0.0250000
npr(1) = 40
deltr1(1) = 0.0050000
deltrn(1) = 0.0125000
npr(2) = 23
deltr1(2) =-0.0025000
deltrn(2) =-0.0250000
tgarde(1) = 0.00000
tgarde(2) = 0.00000
nrelax=  500
relax= 1.0000E-01
pasmin= 1.0000E-02
rlcept= 1.0000E-06
$end
 x(m)            y(m)            psi(SI)         dpsi/dx         dpsi/dy
 $maille
'nreg='    2
'region:'    1
'nppol='  185  'nprad='   40
  3.88872080E+00  3.78131092E-01 -9.04324253E-04  1.47612051E+00  5.01853872E-02
  3.88684583E+00  4.03060683E-01 -9.46662453E-04  1.47192672E+00  7.29017775E-02
  3.88488928E+00  4.29075004E-01 -9.68695814E-04  1.46749929E+00  9.67896620E-02
  3.88339136E+00  4.48991388E-01 -9.70277320E-04  1.46407437E+00  1.15204423E-01
  3.88073606E+00  4.84296287E-01 -9.40500676E-04  1.45792793E+00  1.48116765E-01
  3.87782687E+00  5.13389240E-01 -9.76250355E-04  1.45124170E+00  1.74635828E-01
  3.87289901E+00  5.44563775E-01 -1.14673751E-03  1.43999421E+00  2.01285648E-01
  3.86821210E+00  5.74213989E-01 -1.18241646E-03  1.42905115E+00  2.27078616E-01
  3.86317043E+00  6.06108498E-01 -1.08314071E-03  1.41701255E+00  2.55309600E-01
  3.85734146E+00  6.38843401E-01 -1.04078013E-03  1.40323440E+00  2.83674348E-01
  3.84963423E+00  6.70396874E-01 -1.42122506E-03  1.38588530E+00  3.07920588E-01
  3.84086965E+00  7.06279108E-01 -1.48835785E-03  1.36548984E+00  3.36133048E-01
  3.83344706E+00  7.36667245E-01 -1.24102017E-03  1.34766273E+00  3.60558343E-01
  3.82825236E+00  7.56939759E-01 -1.24382217E-03  1.33552678E+00  3.77286605E-01
  3.82159798E+00  7.78497223E-01 -1.20235704E-03  1.31970466E+00  3.91572125E-01
  3.81583480E+00  7.95709270E-01 -1.57671141E-03  1.30657686E+00  4.03555337E-01
  3.81070927E+00  8.11016959E-01 -1.77173308E-03  1.29473255E+00  4.14342994E-01
  3.79774438E+00  8.49737342E-01 -1.68545960E-03  1.26406249E+00  4.42177573E-01
  3.78491740E+00  8.87295941E-01 -9.94016858E-04  1.23315703E+00  4.69428271E-01
  3.77304925E+00  9.15499850E-01 -1.53521768E-03  1.20755827E+00  4.85749153E-01
  3.75313356E+00  9.62828223E-01 -1.12051664E-03  1.16285400E+00  5.13303288E-01
  3.74693914E+00  9.76476702E-01 -1.17446496E-03  1.14914687E+00  5.21897587E-01
  3.73550859E+00  1.00118714E+00 -1.03778546E-03  1.12335782E+00  5.38185812E-01
  3.72193688E+00  1.02740716E+00 -1.69285519E-03  1.09528483E+00  5.53086619E-01
  3.71553310E+00  1.03928305E+00 -1.99324551E-03  1.08233648E+00  5.58977384E-01
  3.69266985E+00  1.08114927E+00 -2.20295112E-03  1.03563656E+00  5.79600105E-01
  3.67311441E+00  1.11686455E+00 -9.42200431E-04  9.94345819E-01  5.96804706E-01
  3.64798255E+00  1.15533376E+00 -1.69246551E-03  9.45880870E-01  6.15937910E-01
  3.61663458E+00  1.20087926E+00 -2.16688162E-03  8.88348367E-01  6.33567782E-01
  3.59193115E+00  1.23555893E+00 -1.13388380E-03  8.42267826E-01  6.46385051E-01
  3.56106540E+00  1.27307734E+00 -1.16899071E-03  7.88483491E-01  6.61452033E-01
  3.52973008E+00  1.31024298E+00 -1.23365652E-03  7.37777817E-01  6.70969199E-01
  3.50013329E+00  1.34005201E+00 -1.86665504E-03  6.91159512E-01  6.79918605E-01
